dbo.kaq_tab.cnfirm_kaq  ->  dbo.kap_tab.idnkap_kap  [cnfirm_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.dlysss_kaq  ->  dbo.kap_tab.idnkap_kap  [dlysss_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.faster_kaq  ->  dbo.kap_tab.idnkap_kap  [faster_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.fcharg_kaq  ->  dbo.kap_tab.idnkap_kap  [fcharg_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.hbgk25_kaq  ->  dbo.k25_tab.idnk25_k25  [hbgk25_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.idnk06_kaq  ->  dbo.k06_tab.idnk06_k06  [idnk06_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.pofnam_kaq  ->  dbo.kap_tab.idnkap_kap  [pofnam_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.porfmt_kaq  ->  dbo.kap_tab.idnkap_kap  [porfmt_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.potdpi_kaq  ->  dbo.kap_tab.idnkap_kap  [potdpi_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.potsch_kaq  ->  dbo.kap_tab.idnkap_kap  [potsch_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.shorts_kaq  ->  dbo.kap_tab.idnkap_kap  [shorts_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.shpvia_kaq  ->  dbo.kap_tab.idnkap_kap  [shpvia_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaq_tab.tmedia_kaq  ->  dbo.kap_tab.idnkap_kap  [tmedia_kaq, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kar_tab.idnkaq_kar  ->  dbo.kaq_tab.idnkaq_kaq  [idnkaq_kar, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kas_tab.idnkar_kas  ->  dbo.kar_tab.idnkar_kar  [idnkar_kas, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kat_tab.idnkas_kat  ->  dbo.kas_tab.idnkas_kas  [idnkas_kat, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kav_tab.idnkbd_kav  ->  dbo.kbd_tab.idnkbd_kbd  [idnkbd_kav, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kaw_tab.idnkba_kaw  ->  dbo.kba_tab.idnkba_kba  [idnkba_kaw, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kax_tab.idnkaw_kax  ->  dbo.kaw_tab.idnkaw_kaw  [idnkaw_kax, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kay_tab.innkaw_kay  ->  dbo.kaw_tab.idnkaw_kaw  [innkaw_kay, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kay_tab.outkaw_kay  ->  dbo.kaw_tab.idnkaw_kaw  [outkaw_kay, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kba_tab.idnk25_kba  ->  dbo.k25_tab.idnk25_k25  [idnk25_kba, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kba_tab.idnkap_kba  ->  dbo.kap_tab.idnkap_kap  [idnkap_kba, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kbc_tab.idnk93_kbc  ->  dbo.k93_tab.idnk93_k93  [idnk93_kbc, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kbc_tab.idnwhs_kbc  ->  dbo.ka7_tab.idnka7_ka7  [idnwhs_kbc, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kbf_tab.pstkap_kbf  ->  dbo.kap_tab.idnkap_kap  [pstkap_kbf, ondelete=NO_ACTION, onupdate=NO_ACTION]
dbo.kbh_tab.idnk98_kbh  ->  dbo.k98_tab.idnk98_k98  [idnk98_kbh, ondelete=NO_ACTION, onupdate=NO_ACTION]
